,yn,score
0,,4.979667946495821
1,,4.999261190768059
2,,1.0010197744669995
3,,4.728446317019057
4,,4.917975148806336
5,,4.850934040231404
6,,4.8569115554690665
7,,4.997968514971694
8,,4.676736412143196
9,,4.979093070481287
10,,4.949391924977899
11,,4.973487831583044
12,,4.997147840920213
13,,4.977895553259883
14,,4.955928661024687
15,,4.902772099307363
16,,4.988628384824002
17,,4.990793160083835
18,,4.9521671111230665
19,,4.60911742757333
20,,4.973896803710637
21,,4.985108010443799
22,,4.9976936309612086
23,,4.998485374059998
24,,4.996776864427568
25,,4.961049650439143
26,,4.926516958198077
27,,4.992592299375708
28,,4.96865051753968
29,,4.997017220450764
30,,4.9760824156544095
31,,4.995557718405472
32,,4.9575751127606065
33,,4.876180954081695
34,,4.980849532920372
35,,4.832624744683375
36,,4.667697484437006
37,,4.871388572441373
38,,4.948318649951911
39,,4.940004415016447
40,,4.807054867370337
41,,4.98014291332101
42,,4.9791178996432786
43,,4.944573832733349
44,,4.97648082044666
45,,4.964373032032287
46,,4.719760499304689
47,,4.98669518157787
48,,4.982107468070097
49,,4.996669756839155
50,,4.959549022139883
51,,4.995754974862358
52,,4.983746613375905
53,,4.99261251399013
54,,4.975432215393453
55,,4.934295327312617
56,,4.991778311279178
57,,4.9676311408345555
58,,4.957758126507331
59,,4.987111267289737
60,,4.916600532704609
61,,4.982481549601253
62,,4.985846625880578
63,,4.908113525031273
64,,4.900862432556668
65,,4.970692027798551
66,,4.984370136985201
67,,4.998246082200369
68,,4.994751450070348
69,,4.992066466042181
70,,4.852833089169843
71,,4.502754845439206
72,,4.982754308480247
73,,4.998465795967061
74,,4.9754446311490215
75,,4.974062593072762
76,,4.974056189532426
77,,4.9972166197868795
78,,4.971060522212925
79,,4.992859783312708
80,,4.887597315576687
81,,4.833594016754293
82,,4.995047775985595
83,,4.992824236178257
84,,4.977010948690636
85,,4.998506931789916
86,,4.970652368924715
87,,4.991805631387697
88,,4.969901819140314
89,,4.999258602166473
90,,4.970685532483971
91,,4.994658359803732
92,,4.813999759974267
93,,4.982298292753448
94,,4.969338936995067
95,,4.886408130538778
96,,4.99382684274778
97,,4.997632396299281
98,,4.9959717006876385
99,,4.975461572029438
100,,4.948794206792035
101,,4.975132181266934
102,,1.0054802982689974
103,,4.998704330372217
104,,4.989309889077642
105,,4.8149218778475
106,,4.89311901302074
107,,4.977689126019554
108,,4.927382038429783
109,,4.921641836179512
110,,4.994249808665825
111,,4.931902200449332
112,,4.973082815909262
113,,3.976930120835021
114,,4.9728350846219715
115,,4.947640209217189
116,,4.983522340826021
117,,4.44092047995863
118,,4.970233462103689
119,,4.9962136113964055
120,,4.9260110573266065
121,,4.763693028217846
122,,4.998352868595613
123,,4.9744501060935615
124,,4.866067125974723
125,,4.968325347735289
126,,4.9735343549707896
127,,4.98134880456266
128,,2.8947963916132453
129,,4.997429328754653
130,,4.380026133123762
131,,4.997630730046818
132,,4.932896964846279
133,,4.995418905875018
134,,4.975712315021446
135,,4.997518068507568
136,,4.956125642112408
137,,4.446797712548985
138,,3.2104512183055176
139,,4.991583971254674
140,,4.854030684692744
141,,4.995293497546518
142,,4.87096201902452
143,,4.9970593899144005
144,,4.966154701846804
145,,4.875797149806105
146,,4.981152329763071
147,,4.985644741169904
148,,4.964493257184329
149,,3.7202737731625994
150,,4.988067167243012
151,,4.943411852377725
152,,4.87484479552119
153,,4.931049385848489
154,,4.9655007885098215
155,,4.6697956812150245
156,,4.43662359101977
157,,4.998655704914952
158,,4.940151016098403
159,,4.990207156450563
160,,4.984135546466225
161,,4.997785000259743
162,,4.774831468754034
163,,4.978833063420144
164,,2.4221255123513137
165,,4.920950446497935
166,,4.36866064940961
167,,4.348004808873337
168,,4.780468741517772
169,,4.970310731397565
170,,4.983483686781071
171,,4.873867440011704
172,,4.988285158376008
173,,4.996990954270879
174,,4.988633099615752
175,,4.917799414194311
176,,4.97940513185671
177,,4.996768461079169
178,,4.881483129968803
179,,4.993342119444074
